Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Eurozone,Euro,EUR,0.7269,1.37576
Abu Dhabi,Dirham,AED,0.1779,5.622331
Albania,Lek,ALL,0.0052,192.23383
Algeria,Dinar,DZD,0.0065,153.017646
Angola,Readj Kwanza,AOA,0.0056,179.568367
Antigua,E Caribbean Dollar,XCD,0.2421,4.13017884
Argentina,Peso,ARS,0.0718,13.931556
Armenia,Dram,AMD,0.0014,719.124938
Aruba,Florin,AWG,0.3653,2.737675
Australia,Dollar,AUD,0.4648,2.151466
Azerbaijan,New Manat,AZN,0.6514,1.535136
Bahamas,Dollar,BSD,0.2633,3.797612
Bahrain,Dinar,BHD,1.7336,0.576826
Bangladesh,Taka,BDT,0.0084,119.104992
Barbados,Dollar,BBD,0.3269,3.059386
Belarus,Rouble,BYR,0,24079.84737
Belize,Dollar,BZD,0.327,3.058136
Benin,Franc,CFA,0.0011,901.980046
Bermuda,Dollar (US),BMD,0.2633,3.797612
Bhutan,Ngultrum,BTN,0.0103,97.542583
Bolivia,Boliviano,BOB,0.0947,10.557678
Bosnia- Herzegovinia,Marka,BAM,0.3717,2.690275
Botswana,Pula,BWP,0.0648,15.4398
Brazil,Real,BRL,0.1992,5.020567
Brunei,Dollar,BND,0.4764,2.09915
Bulgaria,Lev,BGN,0.3717,2.690038
Burkina Faso,Franc,CFA,0.0011,901.980046
Burundi,Franc,BIF,0.0004,2394.192351
Cambodia,Riel,KHR,0.0002,6216.972686
Cameroon Republic,Franc,CFA,0.0011,901.980046
Canada,Dollar,CAD,0.5166,1.935867
Cape Verde Islands,Escudo,CVE,0.0066,151.846646
Cayman Islands,Dollar,KYD,0.7972,1.254344
Central African Republic,Franc,CFA,0.0011,901.980046
Chad,Franc,CFA,0.0011,901.980046
Chile,Peso,CLP,0.001,996.370453
China,Yuan,CNY,0.1052,9.50559
Colombia,Peso,COP,0.0002,4164.852828
Comoros,Franc,KMF,0.0001,13784.69469
Congo (Brazaville),Franc,CFA,0.0011,901.980046
